"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACTN2|ENST00000366578.6|1",973.694074149971,-1.91949173598062,0.127335558959254,-15.074278949801,2.39112076739549e-51,2.91041193405444e-50
"ACTN2|ENST00000366578.6|2",307.403781537928,-1.61162203394596,0.185573652178584,-8.68454123215209,3.80273999997264e-18,1.37641857325415e-17
"ACTN2|ENST00000366578.6|3",465.895398353898,-2.12571594323569,0.251339538420336,-8.45754693668878,2.73060648347945e-17,9.52649981142832e-17
"ACTN2|ENST00000366578.6|8",17879.4462133918,2.55198553606281,0.164608786187828,15.5033373075896,3.29332072622325e-54,4.42198456703765e-53
"ACTN2|ENST00000366578.6|10",640.809372509212,-1.13304839180152,0.184901195465992,-6.12785865957213,8.90696534549178e-10,2.09566432840355e-09
"ACTN2|ENST00000366578.6|11",1341.20763283261,-1.15643309118247,0.129270986992885,-8.94580538203917,3.69247220934921e-19,1.39290518587009e-18
"ACTN2|ENST00000366578.6|14",153.502897631712,-2.02318394907702,0.331505624729152,-6.10301544877258,1.04085777203942e-09,2.43769134448887e-09
"ACVRL1|ENST00000388922.9|2",10995.7203983409,1.13928788810017,0.290605085360312,3.92039900708415,8.84024780451208e-05,0.00014523957195424
"ACVRL1|ENST00000388922.9|3",8967.29734120727,1.25516129408479,0.208572509201824,6.01786543628451,1.76732008609208e-09,4.09581901531053e-09
"ACVRL1|ENST00000388922.9|6",6085.11971899487,1.46878818493993,0.15076726353494,9.74208956574672,1.99411059752553e-22,8.57267143810599e-22
"ACVRL1|ENST00000388922.9|7",2204.03688755664,-1.36659373560996,0.185734554433566,-7.35777863078659,1.86995805207285e-13,5.4058623194971e-13
"ACVRL1|ENST00000388922.9|9",10170.3260863124,1.57203149838308,0.162035401334929,9.7017780400573,2.96289593429179e-22,1.26783153286934e-21
"ACVRL1|ENST00000388922.9|11",5149.83895004522,1.0334893074781,0.188731094641604,5.47598851922449,4.35075897901278e-08,9.2342796901712e-08
"ACVRL1|ENST00000388922.9|12",7007.5807821279,1.82834449006341,0.207853626798871,8.79630785481845,1.41391351831196e-18,5.19939889739708e-18
"ACVRL1|ENST00000388922.9|13",4180.23463770074,2.05683065771744,0.22998818850291,8.94320126223099,3.78056340836381e-19,1.42568664804702e-18
"ACVRL1|ENST00000388922.9|14",6277.49690994425,1.52896170631668,0.249864283616474,6.11916871105733,9.40647728445605e-10,2.20774796072761e-09
"ACVRL1|ENST00000388922.9|14|mutated",9492.29737171482,1.50234286063746,0.253214732376517,5.93307840557853,2.97306782329099e-09,6.78126705761877e-09
"ADAR|ENST00000368474.9|1",2290.04041524676,1.41940300383995,0.170883465764734,8.30626296984243,9.8763225455318e-17,3.38257692673247e-16
"ADAR|ENST00000368474.9|2",7059.94021733383,1.1814465913844,0.169751900613265,6.95984308344221,3.40651954062563e-12,9.21822967421445e-12
"ADAR|ENST00000368474.9|3",13484.6014594394,1.56728610344582,0.150787127629822,10.3940311622187,2.63955721665661e-25,1.27116915094074e-24
"ADAR|ENST00000368474.9|8",5350.53722168804,1.13045458556799,0.145653123956377,7.76127936608185,8.40768842221152e-15,2.59399495705377e-14
"ADAR|ENST00000368474.9|10",11664.1855434079,1.42394060705458,0.16490522891979,8.63490270370495,5.87770433896037e-18,2.10833377860822e-17
"ADAR|ENST00000368474.9|14",5343.96756551946,1.63135079621445,0.154810367677182,10.5377360747326,5.78753446212482e-26,2.85962459789063e-25
"ADAR|ENST00000368474.9|15",18094.5383002427,1.76087845262506,0.231069727691674,7.62055016992391,2.52596763743167e-14,7.60329590186456e-14
"ADAR|ENST00000368474.9|20",543.567791742808,-2.34219943201843,0.175279977369085,-13.3626182931692,9.9984338062898e-41,8.55977424574217e-40
"ADNP|ENST00000621696.5|1",3690.4193156146,1.27336068105261,0.182603858516255,6.97335035195467,3.09480615952261e-12,8.39748377267838e-12
"ADNP|ENST00000621696.5|2",2046.16715595916,-1.23133620880553,0.170469857818348,-7.22319021417638,5.07819030014314e-13,1.43956178046898e-12
"ADNP|ENST00000621696.5|4",2272.85286561844,-1.18483096278193,0.120005253813641,-9.8731590920334,5.4423054660761e-23,2.3955344567142e-22
"ADNP|ENST00000621696.5|5",972.407465406145,-1.62652180268572,0.129627670678931,-12.5476435252345,4.09516264537529e-36,2.94758191127763e-35
"ADNP|ENST00000621696.5|7",1174.38054891993,-4.70725104225166,0.200353944837997,-23.4946761146024,4.6233050026629e-122,5.32435807854745e-120
"ADNP|ENST00000621696.5|8",1530.29219128515,-2.00649629702669,0.220404213012545,-9.10371117503316,8.72967180089182e-20,3.38366599220975e-19
"ADNP|ENST00000621696.5|9",320.114429548723,-3.0713420309753,0.292783911338803,-10.4901325244652,9.58937968681027e-26,4.70126895247346e-25
"ADNP|ENST00000621696.5|10",125.859850153871,-2.71960459318003,0.352721914027877,-7.71033634435623,1.25486577421516e-14,3.8301547853657e-14
"ADNP|ENST00000621696.5|17",1486.10425512691,-4.05727218409515,0.173196443912259,-23.4258400025266,2.33114898280216e-121,2.60936181000201e-119
"ADNP|ENST00000621696.5|17|mutated",759.986010888833,-4.185026373755,0.189490243621828,-22.0857089724745,4.33689141532402e-108,3.01993886519394e-106
"ADNP|ENST00000621696.5|18",1177.12425982193,-4.35768195207363,0.199766759402904,-21.8138491363558,1.71429289518644e-105,1.10984248679179e-103
"ADNP|ENST00000621696.5|18|mutated",1614.98922080906,-4.11864917339696,0.152501470840723,-27.0072750819473,1.21397152602905e-160,5.81589478689999e-158
"AFF2|ENST00000370460.7|3",499.705042824337,-2.14288475696703,0.147966067580773,-14.4822714559016,1.56827636285029e-47,1.67857426254316e-46
"AFF2|ENST00000370460.7|7",7084.44336692859,2.77145316172426,0.177689756619656,15.5971464784914,7.61212534038518e-55,1.04194771659192e-53
"AFF2|ENST00000370460.7|9",245.387482495909,-1.11377170744156,0.318523029834974,-3.49667560307525,0.000471094321863984,0.000725137732035078
"AFF2|ENST00000370460.7|11",753.136207553377,-1.65748133755333,0.143126444941296,-11.5805387203822,5.17200034560289e-31,3.09399855682689e-30
"AFF2|ENST00000370460.7|14",1815.40226406883,-2.81555813799239,0.148976212139992,-18.8993806296178,1.15399221774723e-79,3.48145208865456e-78
"AFF2|ENST00000370460.7|15",904.570129644541,-3.45785192475971,0.17569511458283,-19.6809793657042,3.13878048237115e-86,1.14613334869998e-84
"AFF2|ENST00000370460.7|22",11279.8372742338,2.85500528425866,0.122729473949243,23.2625887848212,1.06091349660626e-119,1.14473522061741e-117
"AFF2|ENST00000370460.7|23",1121.96101651713,1.35106243979746,0.210298235549127,6.42450677852617,1.32297766379934e-10,3.2792432697278e-10
"AFF2|ENST00000370460.7|25",2628.22873547979,1.11094293054086,0.123957075119514,8.96231965355537,3.17918677143321e-19,1.20268856479645e-18
"AFF2|ENST00000370460.7|28",5373.5243398442,1.29122309756371,0.127644031187646,10.1158125887259,4.70099669959324e-24,2.15640894182414e-23
"AFF2|ENST00000370460.7|29",3160.85668390348,-1.13640130562569,0.136452030892943,-8.32821100711418,8.20731343704956e-17,2.81901327890859e-16
"AFF2|ENST00000370460.7|32",1646.87836408237,-4.51730871409003,0.167256832493375,-27.0082163266423,1.18345909225375e-160,5.81589478689999e-158
"AFF2|ENST00000370460.7|33",1404.77950355034,-4.08706691974063,0.170963250940949,-23.906113724711,2.64565121032699e-126,3.44423527674851e-124
"AFF2|ENST00000370460.7|34",13322.4563732256,1.47858779868419,0.17860055909546,8.27874115384996,1.24484193438754e-16,4.2368490617106e-16
"AFF2|ENST00000370460.7|38",2417.91753491828,-1.8435913659414,0.183027141680335,-10.0727758135529,7.28912893070332e-24,3.31820209817688e-23
"AFF2|ENST00000370460.7|39",765.084970647397,-1.59089586237852,0.158095577414549,-10.0628739171303,8.06101610131059e-24,3.66540584075159e-23
"AFF2|ENST00000370460.7|41",8762.70411807411,3.3433887706925,0.187322824843659,17.8482722192712,2.98117666981749e-71,6.91968080899303e-70
"AFF2|ENST00000370460.7|44",280.76660062812,-2.49609361795451,0.255779803185224,-9.75875963180314,1.69212044831113e-22,7.29011748540376e-22
"AFF2|ENST00000370460.7|46",4014.50130597487,2.0091247499951,0.154100216239862,13.0377802122473,7.45974121730658e-39,5.94842347268182e-38
"AFF2|ENST00000370460.7|48",1118.55683111872,-2.0114459267894,0.135299866514577,-14.8665773190005,5.43202852245168e-50,6.34107267187172e-49
"AFF2|ENST00000370460.7|49",1243.84190931636,-1.44680142208527,0.138272228436141,-10.4634273884828,1.27170620503373e-25,6.20163893228381e-25
"AFF2|ENST00000370460.7|52",1120.96350450697,-2.36061000129146,0.153232490192858,-15.4054143368707,1.50521236361123e-53,1.97458143252702e-52
"AFF2|ENST00000370460.7|53",714.091574497451,-2.98830970382285,0.206617644854811,-14.4629937386167,2.07569505614903e-47,2.20200174379955e-46
"AFF2|ENST00000370460.7|57",1689.94891214485,-1.6398464774747,0.116587389728464,-14.0653846122978,6.19849500015109e-45,6.09018659694911e-44
"AFF2|ENST00000370460.7|59",1695.37790464017,-1.15934336703598,0.113862378675769,-10.1819703796746,2.38678770270196e-24,1.10886564450199e-23
"AFF2|ENST00000370460.7|64",5891.07479246595,1.25469538752932,0.229586708990503,5.46501752233934,4.62861079878783e-08,9.8083636831355e-08
"AFF2|ENST00000370460.7|65",4808.91361052885,1.22997148160987,0.14975703507115,8.21311320049512,2.15526184259308e-16,7.25100311481386e-16
"AFF2|ENST00000370460.7|67",10241.0066181299,1.48904170394501,0.137341566729881,10.8418866873247,2.17929658370635e-27,1.14429790368483e-26
"AFF2|ENST00000370460.7|68",751.61849364137,-2.10070208176962,0.195629821347315,-10.7381485465864,6.7382104424626e-27,3.44592427281702e-26
"AFF2|ENST00000370460.7|69",492.200447936465,-3.80964044563014,0.264838598414901,-14.3847629025052,6.44987604485201e-47,6.78823948938423e-46
"AFG3L2|ENST00000269143.8|2",18498.304471163,2.06706428435506,0.247997569447204,8.33501831877878,7.74861951280302e-17,2.66681654898971e-16
"AFG3L2|ENST00000269143.8|3",2724.04798555637,1.51434856259412,0.227643309610548,6.65228670759035,2.88573850710728e-11,7.42959804377126e-11
"AFG3L2|ENST00000269143.8|4",764.206256525404,-3.50083580400074,0.216127379954429,-16.1980208372437,5.20763007687259e-59,7.94545037333797e-58
"AGRP|ENST00000290953.3|1",1105.53897422161,-2.22112579245758,0.40354454597897,-5.5040411637067,3.71182821760891e-08,7.91887541188135e-08
"AHDC1|ENST00000673934.1|2",346.046767525048,1.43726134206148,0.144516401474368,9.94531643051185,2.6433260105096e-23,1.17998940096435e-22
"AHDC1|ENST00000673934.1|3",705.280054945924,-1.14727702422355,0.148881061844421,-7.7059970557064,1.29825621987894e-14,3.95956576152025e-14
