"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AFF2|ENST00000370460.7|59",2556.44895147057,-1.10556869616296,0.0808127193789197,-13.68062731535,1.32544259514119e-42,6.82372251387686e-42
"AFF2|ENST00000370460.7|63",3564.84775338916,1.00470221885256,0.087429926018528,11.4915139999049,1.45538613541892e-30,5.24219058999358e-30
"AFF2|ENST00000370460.7|68",1408.45801863021,-1.50117293808904,0.118169932716723,-12.7035101364376,5.65358833502026e-37,2.49190538092505e-36
"AFF2|ENST00000370460.7|69",1092.45379616021,-3.54987349331013,0.15592918165997,-22.765934224238,9.9784550536357e-115,2.34856368452958e-113
"AFG3L2|ENST00000269143.8|2",8720.80529965782,1.43279856070608,0.0956453229901553,14.9803306205946,9.87246976476651e-51,6.40001016135838e-50
"AFG3L2|ENST00000269143.8|4",1247.97802332206,-2.72083854204111,0.109143115698695,-24.929089889209,3.60011918644094e-137,1.17839966813012e-135
"AGRP|ENST00000290953.3|1",545.534068229622,-1.7216236389638,0.168504301551916,-10.2170901461134,1.66256772779321e-24,4.89254762440743e-24
"AKT3|ENST00000673466.1|4",445.378439718732,2.68905802902035,0.847685821494646,3.17223428873564,0.00151270915655687,0.00196425923428911
"AKT3|ENST00000673466.1|5",1706.76027487404,1.29168242773265,0.565662450165138,2.28348625113008,0.0224017418187837,0.0269126420967738
"AKT3|ENST00000673466.1|7",1610.07932003851,1.20523109182238,0.163559851463855,7.36874655384928,1.72239751545904e-13,3.50923847537403e-13
"AKT3|ENST00000673466.1|23",1099.96001871924,-2.34471119870566,0.105768525339963,-22.1683264578876,6.94447006538445e-109,1.48033365450722e-107
"AKT3|ENST00000673466.1|24",2011.95938562265,-2.09536078216958,0.13865339779824,-15.112220944045,1.3452797104279e-51,8.9685314028527e-51
"AKT3|ENST00000673466.1|25",995.698828694749,-4.41559718473154,0.139716055896691,-31.6040784031044,3.24518802873671e-219,3.88773525842658e-217
"AKT3|ENST00000673466.1|26",867.837130309623,-5.50025428885435,0.1939856797753,-28.353919192517,7.4887210870232e-177,4.04121074876297e-175
"AKT3|ENST00000673466.1|28",10611.1132226895,1.16267872939064,0.0832895463895702,13.959479668102,2.75437384644359e-44,1.49309496291376e-43
"AKT3|ENST00000673466.1|28|mutated",6692.39599284251,1.06868449490633,0.0737813939987753,14.4844714498627,1.51886500007894e-47,9.11623381810908e-47
"AKT3|ENST00000673466.1|32",872.384964590201,-2.69276405495929,0.116363809044145,-23.1409067568226,1.79500207977194e-118,4.49877090285938e-117
"AKT3|ENST00000673466.1|33",1235.62209140342,-1.09837820565127,0.105629403642347,-10.3984133941558,2.52095668207406e-25,7.69453784745153e-25
"AKT3|ENST00000673466.1|37",940.384241832003,-1.80296639037778,0.112448055947285,-16.0337711060385,7.42376407710151e-58,5.76761956184669e-57
"AKT3|ENST00000673466.1|37|mutated",482.120641023092,-1.85433650281722,0.162736978792794,-11.3946843340275,4.4443784893228e-30,1.56829615028239e-29
"AKT3|ENST00000673466.1|38",241.772354527149,-1.22801568282409,0.182818129601656,-6.71714389322232,1.85320947817666e-11,3.5067840070378e-11
"AKT3|ENST00000673466.1|38|mutated",537.7080639106,-1.20502446126555,0.138894736688031,-8.67581083343807,4.10614224847574e-18,9.85210978104134e-18
